id,summary
35567,display of help guide options for a shopping app
25675,notification displaying various options
32435,display of furniture in a shopping app
31452,app page contains keypad with display
23608,page displaying accounts
29876,page displaying favorites page
25872,sign in page of a social app
1264,page displaying different workout options to set
30084,display of live events page
21141,login page of a transportation application
34025,page displaying flights information
35858,display showing could n't find any tv guide results
1304,choosing service provider by entering postal code
27392,page displaying the list of contact setting options
19821,page displaying blank information about favorites
35604,display of screen shows a menu translator
15050,pop up displaying to accept conditions
11337,change log page consists of some information
13434,introductory page of a website
27375,page displaying different setting options with social accounts to connect
27504,display of screen shows back trips
15394,display of screen shows pocket auctions
23808,multiple options of an settings menu
11560,log in page displayed
34848,pop-up displaying options to clear list
34509,page displaying a profile with other options in social application
35178,blank page displaying in fitness app
11632,options are displaying in change face
16335,display of screen shows a dial pad
20703,notification to accept gps license in gps app
22299,display of a page showing of hotel booking app
18227,app page with app instructions and free trail option
17629,page displaying different locations to select
33057,page displaying product details in shopping app
26564,list of options under preference menu
17078,display of screen shows restaurant summary
28745,blank page of videos in app
15339,alert message to select an app for sharing the file
25962,display of categories in a shopping app
18830,page asking details to submit
15879,intial page of shopping application
17909,display of screen shows playlist catalog
17856,app page with features of app and other options
1659,notification displaying a question with different options
2099,display of items in a shopping app
18858,login page of a job recruiting app
31845,pop up contains gift and rewards for new user
3474,intial page displaying an information
29327,display of filters for a hotel app
23566,notification displaying list of years with other options
15617,alert message displaying error creating account
24980,page displaying list of matches in a game app
10721,page displaying the weather conditions through social app
24069,display of a page showing of medical health app
12669,display of details about a version update
26479,notification displaying various options
26265,page displaying list of games challenges in app
18929,alert window for confirming to turn off the demos
29333,list of places in a travel app
21894,home page of a weather forecast app
19620,display of options for an account
17541,display of screen shows about received points
16954,page displaying start page of an quiz app
33068,initial page
20103,screen displaying home page with offer details
10662,notification displaying various apps
15400,display of a page showing various notifications for app
14156,display of theaters page
22833,display of a reminder in an events app
24787,options in a web browser
19727,display of searched car results
3569,image displaying about the themes and activation
25701,display of screen shows to setup an account
1261,page displaying general screen settings
26141,list of how to communicate in different places
33912,page displaying login option
22310,pop up displaying to continue in social app
21284,display of recipe details to enter in food recipes app
18728,display of screen shows news
11088,display showing notifications are enable
32806,display of screen shows to invite from social app
27340,display of screen shows tracking options
17937,shopping app with list of grocery products to shop
2968,page displaying california adventure wait times
30082,display of screen shows to enter a referral code
20013,page asking the details from the user details
20711,display page showing multiple article for book reading app
34044,display of options in a course learning app
11144,display of a location map
23292,display of albums in a music player app
27743,display of screen shows about translation app
20637,page displaying agree and disagree for terms
32250,page displaying to enter a password
13974,display page showing various options in weather forecast app
14603,display of error message for while playing a media player
1792,page asking search by a name
21589,display page showing weather information
1693,list of various gas stations on gas application
20369,display of screen shows different series
14867,page displaying list of information about a shopping application
28253,display of a page to help login
26362,checkout page with empty cart
27863,list of options under the formatting and display menu
28564,display of a page showing various steps for business app
356,pop up displaying multiple icons and names
34175,display of contact list in a contacts app
15592,display page showing event details in a social application
19344,display page to choose ingredients for juice in food app
34418,display showing verification page
26803,different parameters are displaying for abilities
18789,pop up alert showing information
11317,display of screen shows a login page
30805,display of screen shows theory
10038,display of news articles in a news app
17895,display of options for a security app
29663,screen displaying information about an application and a signin option
11131,pop up alert to choose country to search in
1202,pop up displaying about create an account
33627,display of information about ac controlling for a mobile
27178,display showing to find route map
19919,log in page for a social app
19385,home page displaying about offers in shopping app
24132,display of screen shows to access
14755,display of options in a comics app
2853,list of categories available for health and wellness
27047,page displaying store includes advertisement
32918,page displaying the weather information
13364,page displaying options
21700,alert message to select an app for sharing the file
33398,display of screen shows questions
33904,display of articles in a social app
12148,page displaying support information about an application
27061,alert message to select the app for sending the file
11580,catalog of various phrases page displayed of a language app
25997,page asking to select story
14469,login page displaying to enter email and password
22170,display with multiple options
16173,display showing to enter name
31399,login page is displaying
16338,display showing number of stickers
2967,page asking to select your country
16102,home page displaying to install media player app
23569,page displaying for screenshot-blocking application
25415,home screen displaying adjustments in audio app
12882,page asking to select a currency on app
34752,list of college names are displaying
27648,display of screen shows of editting a picture
18786,pop up displays the difference between older and updated version
23025,display of screen shows about word app
27752,page displaying a word to translate in a learning app
33131,display of secs in a timer app
17346,display page to submit image in a news app
18190,display of reviews for a movie
180,display showing to create an account
